Date,Open,High,Low,Close,PrevClose,Change,Pchange
10/29/2021,17.9125,19.64,16.2825,17.425,17.9125,-0.49,-2.72
11/1/2021,17.425,18.095,15.3825,17.235,17.425,-0.19,-1.09
11/2/2021,17.235,17.7875,16.36,17.0625,17.235,-0.17,-1
11/3/2021,17.0625,17.0625,15.7,16.125,17.0625,-0.94,-5.49
11/4/2021,16.125,16.4125,14.305,15.7475,16.125,-0.38,-2.34
11/8/2021,15.7475,16.925,13.99,16.34,15.7475,0.59,3.76
11/9/2021,16.34,16.615,14.6425,16.0025,16.34,-0.34,-2.07
11/10/2021,16.0025,16.685,15.14,16.305,16.0025,0.3,1.89
11/11/2021,16.305,17.285,14.645,16.3525,16.305,0.05,0.29
11/12/2021,16.3525,16.3525,14.645,15.2175,16.3525,-1.14,-6.94
11/15/2021,15.2175,15.8425,13.4275,15.465,15.2175,0.25,1.63
11/16/2021,15.465,15.6825,13.58,15.195,15.465,-0.27,-1.75
11/17/2021,15.195,15.4125,13.915,14.98,15.195,-0.22,-1.41
11/18/2021,14.98,16.1475,12.08,14.8575,14.98,-0.12,-0.82
11/22/2021,14.8575,18.0825,13.5625,17.52,14.8575,2.66,17.92
11/23/2021,17.52,20.025,16.7925,18.015,17.52,0.5,2.83
11/24/2021,18.015,18.015,15.5775,17.095,18.015,-0.92,-5.11
11/25/2021,17.095,18.0725,16.0025,16.6625,17.095,-0.43,-2.53
11/26/2021,16.6625,21.3925,16.05,20.8025,16.6625,4.14,24.85
11/29/2021,20.8025,23.82,18.8925,20.83,20.8025,0.03,0.13
11/30/2021,20.83,21.965,18.8075,21.1675,20.83,0.34,1.62
12/1/2021,21.1675,21.1675,18.935,19.4475,21.1675,-1.72,-8.13
12/2/2021,19.4475,22.965,18.0025,18.0875,19.4475,-1.36,-6.99
12/3/2021,18.0875,18.8325,17.21,18.455,18.0875,0.37,2.03
12/6/2021,18.455,20.4775,18.3,20.0775,18.455,1.62,8.79
12/7/2021,20.0775,20.0775,18.2425,18.46,20.0775,-1.62,-8.06
12/8/2021,18.46,18.46,16.565,17.265,18.46,-1.2,-6.47
12/9/2021,17.265,17.435,15.54,16.6025,17.265,-0.66,-3.84
12/10/2021,16.6025,16.9325,15.21,16.06,16.6025,-0.54,-3.27
12/13/2021,16.06,16.86,14.675,16.57,16.06,0.51,3.18
12/14/2021,16.57,17.33,13.9375,16.9525,16.57,0.38,2.31
12/15/2021,16.9525,17.7125,15.7675,17.2175,16.9525,0.27,1.56
12/16/2021,17.2175,17.2175,15.2625,15.895,17.2175,-1.32,-7.68
12/17/2021,15.895,16.9075,13.76,16.3375,15.895,0.44,2.78
12/20/2021,16.3375,20.135,16.3375,18.965,16.3375,2.63,16.08
12/21/2021,18.965,18.965,16.6275,17.5375,18.965,-1.43,-7.53
12/22/2021,17.5375,17.5375,15.69,16.58,17.5375,-0.96,-5.46
12/23/2021,16.58,16.58,15.68,15.825,16.58,-0.76,-4.55
12/24/2021,15.825,16.6525,15.3325,16.1475,15.825,0.32,2.04
12/27/2021,16.1475,17.2775,15.2625,17.1175,16.1475,0.97,6.01
12/28/2021,17.1175,17.1175,15.2075,16.475,17.1175,-0.64,-3.75
12/29/2021,16.475,16.8625,15.8,16.2425,16.475,-0.23,-1.41
12/30/2021,16.2425,16.7875,15.2925,16.565,16.2425,0.32,1.99
12/31/2021,16.565,16.7675,15.4,16.2225,16.565,-0.34,-2.07
1/3/2022,16.2225,16.81,15.4525,16.4525,16.2225,0.23,1.42
1/4/2022,16.4525,16.675,15.71,16.12,16.4525,-0.33,-2.02
1/5/2022,16.12,17.38,15.0875,17.2275,16.12,1.11,6.87
1/6/2022,17.2275,18.4175,16.4,17.9775,17.2275,0.75,4.35
1/7/2022,17.9775,18.09,16.86,17.6025,17.9775,-0.38,-2.09
1/10/2022,17.6025,18.39,15.8425,17.6775,17.6025,0.08,0.43
1/11/2022,17.6775,18.2475,16.4375,17.7575,17.6775,0.08,0.45
1/12/2022,17.7575,17.925,16.5475,17.1825,17.7575,-0.58,-3.24
1/13/2022,17.1825,17.525,16.6075,16.705,17.1825,-0.48,-2.78
1/14/2022,16.705,17.1,15.3425,16.555,16.705,-0.15,-0.9
1/17/2022,16.555,17.5475,16.2675,16.765,16.555,0.21,1.27
1/18/2022,16.765,17.875,16.765,17.78,16.765,1.02,6.05
1/19/2022,17.78,18.4475,15.94,17.8175,17.78,0.04,0.21
1/20/2022,17.8175,18.45,17.32,17.79,17.8175,-0.03,-0.15
1/21/2022,17.79,19.605,16.9825,18.8875,17.79,1.1,6.17
1/24/2022,18.8875,23.9,18.8875,22.825,18.8875,3.94,20.85
1/25/2022,22.825,24.1375,21.18,21.3575,22.825,-1.47,-6.43
1/27/2022,21.3575,23.8675,20.4425,21.065,21.3575,-0.29,-1.37
1/28/2022,21.065,21.32,20.2825,20.695,21.065,-0.37,-1.76
1/31/2022,20.695,22.11,20.695,21.9525,20.695,1.26,6.08
2/1/2022,21.9525,22.07,19.745,19.9775,21.9525,-1.98,-9
2/2/2022,19.9775,19.9775,18.5475,18.65,19.9775,-1.33,-6.64
2/3/2022,18.65,19.595,17.4075,19.16,18.65,0.51,2.73
2/4/2022,19.16,19.7775,18.595,18.8975,19.16,-0.26,-1.37
2/7/2022,18.8975,21.0825,18.1825,20.4375,18.8975,1.54,8.15
2/8/2022,20.4375,20.9375,19.555,19.685,20.4375,-0.75,-3.68
2/9/2022,19.685,19.685,17.885,18.555,19.685,-1.13,-5.74
2/10/2022,18.555,18.925,16.8,17.71,18.555,-0.85,-4.55
2/11/2022,17.71,19.5325,16.855,18.68,17.71,0.97,5.48
2/14/2022,18.68,23.535,18.68,22.9775,18.68,4.3,23.01
2/15/2022,22.9775,23.14,20.435,20.6125,22.9775,-2.37,-10.29
2/16/2022,20.6125,21.02,19.3525,20.5925,20.6125,-0.02,-0.1
2/17/2022,20.5925,22.37,19.4625,22.005,20.5925,1.41,6.86
2/18/2022,22.005,23.21,21.635,22.165,22.005,0.16,0.73
2/21/2022,22.165,23.755,20.57,22.9025,22.165,0.74,3.33
2/22/2022,22.9025,27.815,22.9025,26.6625,22.9025,3.76,16.42
2/23/2022,26.6625,26.6625,23.9075,24.5425,26.6625,-2.12,-7.95
2/24/2022,24.5425,33.9725,24.5425,31.9825,24.5425,7.44,30.31
2/25/2022,31.9825,31.9825,26.15,26.74,31.9825,-5.24,-16.39
2/28/2022,26.74,29.785,26.74,28.57,26.74,1.83,6.84
3/2/2022,28.57,30.8425,28.57,29.2325,28.57,0.66,2.32
3/3/2022,29.2325,29.2325,27.2225,28.155,29.2325,-1.08,-3.69
3/4/2022,28.155,29.925,27.2225,27.9575,28.155,-0.2,-0.7
3/7/2022,27.9575,30.2775,27.9575,29.33,27.9575,1.37,4.91
3/8/2022,29.33,30.0575,27.1125,28.5875,29.33,-0.74,-2.53
3/9/2022,28.5875,28.5875,27.305,27.4675,28.5875,-1.12,-3.92
3/10/2022,27.4675,27.4675,22.9625,25.5825,27.4675,-1.89,-6.86
3/11/2022,25.5825,25.8725,24.58,25.345,25.5825,-0.24,-0.93
3/14/2022,25.345,26.2125,25.09,25.6775,25.345,0.33,1.31
3/15/2022,25.6775,27.5425,23.6575,26.73,25.6775,1.05,4.1
3/16/2022,26.73,26.73,24.0125,24.1175,26.73,-2.61,-9.77
3/17/2022,24.1175,24.1175,20.77,22.61,24.1175,-1.51,-6.25
3/21/2022,22.61,24.7125,22.61,24.6225,22.61,2.01,8.9
3/22/2022,24.6225,25.1575,23.76,24.07,24.6225,-0.55,-2.24
